model,color,定価,日時,平均取引額,コラボ
dunk sb,gray,130,2023-08-30 00:00:00,50000,yes
dunk sb,green,135,2024-08-28 00:00:00,25800,yes
dunk sb,blue,120,2023-11-27 00:00:00,46100,yes
dunk sb,green,125,2024-12-07 00:00:00,17900,no
dunk sb,black,115,2024-10-01 00:00:00,18900,no
dunk sb,white,110,2023-03-01 00:00:00,18500,no
dunk sb,black,110,2023-03-01 00:00:00,19100,no
dunk sb,gray,115,2024-12-03 00:00:00,21600,no
dunk sb,white,115,2024-07-28 00:00:00,17400,no
dunk sb,white,125,2024-02-09 00:00:00,21300,no
dunk sb,red,95,2020-09-01 00:00:00,23300,no
dunk sb,gray,125,2024-04-17 00:00:00,24600,no
dunk sb,green,135,2023-12-14 00:00:00,37200,yes
dunk sb,blue,135,2023-12-15 00:00:00,43800,yes
dunk sb,red,110,1023/8/25,15600,no
dunk sb,gray,125,2024-03-20 00:00:00,28200,yes
dunk sb,blue,135,2024-05-22 00:00:00,49100,yes
dunk sb,red,135,2024-12-14 00:00:00,41100,yes
dunk sb,white,125,2024-04-10 00:00:00,19200,no
dunk sb,brown,125,2024-02-09 00:00:00,18900,no
dunk sb,blue,115,2024-04-24 00:00:00,17100,no
dunk sb,blue,135,2024-09-20 00:00:00,51600,yes
dunk sb,gray,125,2024-08-09 00:00:00,18500,no
dunk sb,red,125,2024-07-18 00:00:00,17000,no
dunk sb,black,135,2024-11-14 00:00:00,39500,yes
dunk sb,blue,120,2022-11-04 00:00:00,40500,yes
dunk sb,green,110,2021-06-05 00:00:00,18300,no
dunk sb,brown,110,2021-02-06 00:00:00,20700,no
dunk sb,black,115,2024-10-01 00:00:00,18300,no
dunk sb,blue,115,2024-01-12 00:00:00,19100,no
dunk sb,white,130,2023-09-23 00:00:00,34100,no
dunk sb,green,135,2024-08-29 00:00:00,20100,yes
dunk sb,white,130,2022-12-17 00:00:00,24800,no
dunk sb,blue,130,2023-04-20 00:00:00,29000,no
dunk sb,black,115,2024-04-06 00:00:00,16800,no
dunk sb,green,125,2024-09-12 00:00:00,12900,no
dunk sb,blue,130,2023-09-28 00:00:00,74300,yes
dunk sb,black,138,2023-08-31 00:00:00,50100,yes
dunk sb,green,130,2023-05-10 00:00:00,72300,yes
AJ1low,yellow,150,2024-05-25 00:00:00,55800,yes
AJ1low,green,150,2024-09-28 00:00:00,78900,yes
AJ1low,gray,90,2020-09-29 00:00:00,26400,no
